iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.041406,1.6602,0.096539,2.7500
200,51200,256,0.039842,1.0761,0.074766,1.5000
300,76800,256,0.042006,1.1580,0.041039,1.0000
400,102400,256,0.042316,1.1692,0.024514,1.0000
500,128000,256,0.041134,1.2321,0.032116,1.0000
600,153600,256,0.040523,1.1809,0.043219,1.0000
700,179200,256,0.039621,1.2037,0.033252,1.0000
800,204800,256,0.040431,1.1987,0.041194,1.0000
900,230400,256,0.039456,1.2633,0.052811,1.0000
1000,256000,256,0.043984,1.3763,0.017320,1.0000
1100,281600,256,0.038551,1.4471,0.017042,1.0000
1200,307200,256,0.039825,1.3428,0.074761,1.0000
1300,332800,256,0.037695,1.4088,0.028849,1.0000
1400,358400,256,0.039577,1.3856,0.044293,1.0000
1500,384000,256,0.038452,1.7754,0.033689,1.0000
1600,409600,256,0.042146,1.5488,0.057087,1.0000
1700,435200,256,0.038392,1.6139,0.022860,1.0000
1800,460800,256,0.038319,1.7176,0.036575,1.0000
1900,486400,256,0.041599,1.5314,0.068525,1.0000
2000,512000,256,0.041172,1.2222,0.041003,1.0000
2100,537600,256,0.037432,1.6150,0.060223,1.0000
2200,563200,256,0.037338,1.5616,0.041717,1.0000
2300,588800,256,0.041066,1.6203,0.025907,1.0000
2400,614400,256,0.042217,1.7102,0.025672,1.0000
2500,640000,256,0.040154,1.9585,0.020636,1.0000
2600,665600,256,0.041297,1.6342,0.027314,1.5000
2700,691200,256,0.041214,1.4833,0.033809,1.2500
2800,716800,256,0.039706,1.4260,0.027130,1.5000
2900,742400,256,0.041259,1.4009,0.034565,1.5000
3000,768000,256,0.042538,1.4322,0.033838,1.5000
3100,793600,256,0.038729,1.4866,0.034551,1.5000
3200,819200,256,0.044236,1.5083,0.037259,1.5000
3300,844800,256,0.039251,1.5199,0.050472,1.5000
3400,870400,256,0.039222,1.5299,0.021390,1.5000
3500,896000,256,0.040872,1.5000,0.018689,1.5000
3600,921600,256,0.043554,1.4767,0.059948,1.5000
3700,947200,256,0.041890,1.9641,0.038188,2.7500
3800,972800,256,0.041021,1.7366,0.029050,2.7500
3900,998400,256,0.045387,1.6263,0.058135,1.7500
4000,1024000,256,0.038927,1.5824,0.069179,1.5000
4100,1049600,256,0.038139,1.6803,0.028016,1.5000
4200,1075200,256,0.039513,1.7040,0.029336,1.5000
4300,1100800,256,0.041242,1.9452,0.031690,1.5000
4400,1126400,256,0.040485,1.9929,0.023669,1.5000
4500,1152000,256,0.040884,2.1530,0.028298,1.5000
4600,1177600,256,0.043639,1.9968,0.053579,1.5000
4700,1203200,256,0.043721,2.1341,0.032475,1.5000
4800,1228800,256,0.041982,2.0126,0.026221,1.5000
4900,1254400,256,0.039595,1.9380,0.021629,1.5000
5000,1280000,256,0.041089,2.0338,0.056136,1.5000
5100,1305600,256,0.038020,1.9408,0.053705,1.5000
5200,1331200,256,0.042259,2.0521,0.041781,1.5000
5300,1356800,256,0.036628,2.0709,0.030320,1.5000
5400,1382400,256,0.039779,1.9233,0.046749,1.5000
5500,1408000,256,0.042411,1.9428,0.051367,1.5000
5600,1433600,256,0.039109,1.8727,0.033460,1.5000
5700,1459200,256,0.037760,1.9123,0.018084,1.5000
5800,1484800,256,0.043137,1.9639,0.049287,1.5000
5900,1510400,256,0.037249,1.8257,0.023249,1.5000
6000,1536000,256,0.044909,1.8962,0.034587,1.5000
6100,1561600,256,0.037483,1.7851,0.088825,1.5000
6200,1587200,256,0.037504,1.7678,0.028336,1.5000
6300,1612800,256,0.039104,1.7779,0.034011,1.5000
6400,1638400,256,0.042368,1.8259,0.029519,1.5000
6500,1664000,256,0.039322,1.5004,0.036213,1.2500
6600,1689600,256,0.037919,1.5092,0.036249,1.5000
6700,1715200,256,0.038305,1.4692,0.042173,1.5000
6800,1740800,256,0.039602,1.6501,0.054513,2.0000
6900,1766400,256,0.041579,1.9307,0.066773,2.0000
7000,1792000,256,0.041711,1.9068,0.040456,2.0000
7100,1817600,256,0.038687,2.1134,0.080171,2.7500
7200,1843200,256,0.037198,2.3795,0.023409,3.5000
7300,1868800,256,0.040153,2.8052,0.014163,5.0000
7400,1894400,256,0.036222,3.0215,0.042801,5.0000
7500,1920000,256,0.037201,3.0332,0.033763,5.0000
7600,1945600,256,0.037479,2.7121,0.055101,5.0000
7700,1971200,256,0.039525,2.5919,0.015298,3.5000
7800,1996800,256,0.038861,2.7601,0.039347,4.2500
7900,2022400,256,0.041399,2.7479,0.030782,5.0000
8000,2048000,256,0.036984,3.2247,0.045811,5.0000
8100,2073600,256,0.035428,3.1152,0.017481,5.0000
8200,2099200,256,0.036737,2.7968,0.042027,5.0000
8300,2124800,256,0.042751,3.1067,0.044752,5.0000
8400,2150400,256,0.039761,2.8850,0.052813,5.0000
8500,2176000,256,0.039392,3.1194,0.061745,5.0000
8600,2201600,256,0.038995,3.1184,0.027107,5.0000
8700,2227200,256,0.037687,3.2832,0.028090,5.0000
8800,2252800,256,0.042039,2.7937,0.026861,5.0000
8900,2278400,256,0.040405,2.6015,0.023696,5.0000
9000,2304000,256,0.038599,2.6287,0.043182,5.0000
9100,2329600,256,0.039173,2.4517,0.029963,5.0000
9200,2355200,256,0.037395,2.2874,0.021255,5.0000
9300,2380800,256,0.036592,2.3814,0.013576,5.0000
9400,2406400,256,0.037156,2.3487,0.032232,4.0000
9500,2432000,256,0.042209,2.1418,0.005824,4.0000
9600,2457600,256,0.034035,2.5447,0.023832,4.0000
9700,2483200,256,0.042341,2.0908,0.019713,4.0000
9800,2508800,256,0.044003,2.3599,0.084377,4.0000
9900,2534400,256,0.041276,2.8892,0.009506,5.0000
10000,2560000,256,0.039262,2.5019,0.074098,5.0000
10100,2585600,256,0.046520,2.9297,0.046350,5.0000
10200,2611200,256,0.040910,2.9640,0.043952,5.0000
10300,2636800,256,0.042658,2.7664,0.055544,5.0000
10400,2662400,256,0.036834,2.6764,0.035884,4.0000
10500,2688000,256,0.038565,2.8221,0.015627,5.0000
10600,2713600,256,0.040892,2.8609,0.025284,5.0000
10700,2739200,256,0.038401,3.0232,0.035553,5.0000
10800,2764800,256,0.037854,3.3030,0.053458,5.0000
10900,2790400,256,0.043652,3.1745,0.019100,5.0000
11000,2816000,256,0.041293,2.9354,0.042059,5.0000
11100,2841600,256,0.042915,2.5356,0.058503,5.0000
11200,2867200,256,0.035402,2.8324,0.052859,5.0000
11300,2892800,256,0.041292,2.8803,0.013585,5.0000
11400,2918400,256,0.040543,2.9844,0.028376,5.0000
11500,2944000,256,0.036083,2.5054,0.023668,5.0000
11600,2969600,256,0.040468,2.9212,0.094162,5.0000
11700,2995200,256,0.036772,3.1248,0.033276,5.0000
11800,3020800,256,0.040736,2.8499,0.017842,5.0000
11900,3046400,256,0.039838,3.0092,0.036835,5.0000
12000,3072000,256,0.036894,2.7931,0.036443,5.0000
12100,3097600,256,0.039333,3.1375,0.016862,5.0000
12200,3123200,256,0.040499,3.2915,0.016352,5.0000
12300,3148800,256,0.040698,3.2341,0.059599,5.0000
12400,3174400,256,0.038775,3.0266,0.014954,5.0000
12500,3200000,256,0.041164,2.8554,0.042176,5.0000
12600,3225600,256,0.040222,3.0181,0.022392,5.0000
12700,3251200,256,0.038039,2.7165,0.062357,4.0000
12800,3276800,256,0.038717,2.9310,0.032175,4.0000
12900,3302400,256,0.037562,2.9681,0.042093,4.0000
13000,3328000,256,0.041504,2.7990,0.082032,4.0000
13100,3353600,256,0.042753,3.1772,0.046709,4.0000
13200,3379200,256,0.039051,3.0142,0.068464,4.0000
13300,3404800,256,0.040261,3.0502,0.032422,4.0000
13400,3430400,256,0.039301,3.2459,0.006015,4.0000
13500,3456000,256,0.041688,3.2606,0.052392,5.0000
13600,3481600,256,0.040499,3.4265,0.012824,5.0000
13700,3507200,256,0.040777,3.1534,0.024483,5.0000
13800,3532800,256,0.038579,3.2499,0.063975,4.0000
13900,3558400,256,0.040205,3.3772,0.076004,4.0000
14000,3584000,256,0.041032,3.3679,0.021724,5.0000
14100,3609600,256,0.038941,3.6100,0.052336,5.0000
14200,3635200,256,0.036367,3.6575,0.036348,5.0000
14300,3660800,256,0.038227,3.4983,0.047701,5.0000
14400,3686400,256,0.042872,3.6839,0.050176,5.0000
14500,3712000,256,0.039236,3.2004,0.047275,4.0000
14600,3737600,256,0.037291,3.5202,0.054738,4.0000
14700,3763200,256,0.042053,3.2983,0.039698,4.0000
14800,3788800,256,0.037241,3.3761,0.042324,4.0000
14900,3814400,256,0.041234,3.4052,0.035753,4.0000
15000,3840000,256,0.041905,3.8212,0.017890,4.0000
15100,3865600,256,0.037614,3.2503,0.065401,4.0000
15200,3891200,256,0.043413,3.4175,0.009976,4.0000
15300,3916800,256,0.039934,3.2448,0.022362,4.0000
15400,3942400,256,0.044086,3.4282,0.017252,4.0000
15500,3968000,256,0.036157,3.3032,0.054733,4.0000
15600,3993600,256,0.042090,3.6230,0.035428,4.0000
15700,4019200,256,0.043122,3.4060,0.021722,4.0000
15800,4044800,256,0.039119,3.4934,0.025037,4.0000
15900,4070400,256,0.041872,3.0674,0.021577,4.0000
16000,4096000,256,0.038412,3.5480,0.032531,4.0000
16100,4121600,256,0.036930,3.6959,0.031333,4.0000
16200,4147200,256,0.036716,3.7684,0.043665,4.5000
16300,4172800,256,0.038446,3.7739,0.019183,4.7500
16400,4198400,256,0.044673,3.8583,0.022924,4.7500
16500,4224000,256,0.040286,3.2484,0.057696,4.7500
16600,4249600,256,0.038044,3.9895,0.038913,4.7500
16700,4275200,256,0.037480,4.0878,0.046416,4.7500
16800,4300800,256,0.037619,3.7999,0.057883,4.7500
16900,4326400,256,0.042505,3.7792,0.024899,4.7500
17000,4352000,256,0.038932,3.8626,0.050029,4.7500
17100,4377600,256,0.042497,4.0411,0.054513,4.5000
17200,4403200,256,0.039165,3.8252,0.030778,4.7500
17300,4428800,256,0.038757,3.9905,0.031452,4.7500
17400,4454400,256,0.039742,3.8620,0.073989,4.7500
17500,4480000,256,0.039338,3.7807,0.034103,4.7500
17600,4505600,256,0.044887,4.1844,0.030480,4.7500
17700,4531200,256,0.039955,4.0721,0.032980,4.7500
17800,4556800,256,0.042611,4.5199,0.028264,4.7500
17900,4582400,256,0.040612,4.2079,0.039404,4.7500
18000,4608000,256,0.042350,4.3956,0.035173,4.7500
18100,4633600,256,0.042530,3.9350,0.027376,4.7500
18200,4659200,256,0.038794,3.8557,0.030168,4.7500
18300,4684800,256,0.041943,3.9989,0.014364,4.7500
18400,4710400,256,0.041701,4.0209,0.017170,4.7500
