iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.699013,1.0000,0.223488,1.0000
200,51200,256,0.879382,1.0000,0.216091,1.0000
300,76800,256,0.889048,1.0000,0.246977,1.0000
400,102400,256,0.611686,1.0038,0.206061,1.0000
500,128000,256,0.612946,1.0000,0.262258,1.0000
600,153600,256,0.659314,1.0000,0.297512,1.0000
700,179200,256,0.603441,1.0000,0.272618,1.0000
800,204800,256,0.683520,1.0000,0.289982,1.0000
900,230400,256,0.711333,1.0000,0.301167,1.0000
1000,256000,256,0.683808,1.0000,0.309401,1.0000
1100,281600,256,0.690921,1.0000,0.319816,1.0000
1200,307200,256,0.523180,1.0000,0.316589,1.0000
1300,332800,256,0.516468,1.0000,0.305230,1.0000
1400,358400,256,0.501323,1.0000,0.263605,1.0000
1500,384000,256,0.544093,1.0000,0.313182,1.0000
1600,409600,256,0.500440,1.0000,0.302270,1.0000
1700,435200,256,0.542654,1.0000,0.294211,1.0000
1800,460800,256,0.533702,1.0000,0.276274,1.0000
1900,486400,256,0.504590,1.0000,0.376371,1.0000
2000,512000,256,0.465339,1.0000,0.373517,1.0000
2100,537600,256,0.489582,1.0000,0.381034,1.0000
2200,563200,256,0.476374,1.0000,0.438738,1.0000
2300,588800,256,0.480306,1.0000,0.419597,1.0000
2400,614400,256,0.452529,1.0000,0.424267,1.0000
2500,640000,256,0.481439,1.0000,0.448866,1.0000
2600,665600,256,0.470480,1.0000,0.444750,1.0000
2700,691200,256,0.476802,1.0000,0.455007,1.0000
2800,716800,256,0.436668,1.0000,0.452498,1.0000
2900,742400,256,0.415348,1.0000,0.414854,1.0000
3000,768000,256,0.438139,1.0000,0.443235,1.0000
3100,793600,256,0.479426,1.0000,0.459491,1.0000
3200,819200,256,0.452571,1.0000,0.434761,1.0000
3300,844800,256,0.451932,1.0000,0.454056,1.0000
3400,870400,256,0.470195,1.0000,0.454795,1.0000
3500,896000,256,0.451011,1.0000,0.447232,1.0000
3600,921600,256,0.443317,1.0000,0.433567,1.0000
3700,947200,256,0.421540,1.0000,0.431070,1.0000
