iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
1,2048,40,14.189137,50.0000,,
2,4096,40,13.837682,50.0000,,
3,6144,40,13.853174,50.0000,,
4,8192,40,13.914825,50.0000,,
5,10240,40,14.148178,50.0000,13.846659,50.0000
6,12288,41,14.185135,50.0000,,
7,14336,40,14.180126,50.0000,,
8,16384,40,13.912908,50.0000,,
9,18432,40,13.943473,50.0000,,
10,20480,40,14.463473,50.0000,14.511404,50.0000
11,22528,41,14.073218,50.0000,,
12,24576,40,14.567325,50.0000,,
13,26624,40,14.072841,50.0000,,
14,28672,40,14.072114,50.0000,,
15,30720,40,14.353814,50.0000,14.815108,50.0000
16,32768,41,14.151730,50.0000,,
17,34816,40,13.903825,50.0000,,
18,36864,40,14.214004,50.0000,,
19,38912,40,14.118345,50.0000,,
20,40960,40,14.248514,50.0000,14.177839,50.0000
21,43008,41,13.777038,50.0000,,
22,45056,40,14.273347,50.0000,,
23,47104,40,14.378208,50.0000,,
24,49152,40,14.178896,50.0000,,
25,51200,40,14.093266,50.0000,14.688342,50.0000
26,53248,41,14.044493,50.0000,,
27,55296,40,13.958086,50.0000,,
28,57344,40,14.332861,50.0000,,
29,59392,40,14.003325,50.0000,,
30,61440,40,14.292888,50.0000,14.129934,50.0000
31,63488,41,14.032896,50.0000,,
32,65536,40,14.168908,50.0000,,
33,67584,40,14.361989,50.0000,,
34,69632,40,14.341163,50.0000,,
35,71680,40,14.382517,50.0000,14.035311,50.0000
36,73728,41,13.993768,50.0000,,
37,75776,40,14.147892,50.0000,,
38,77824,40,14.243075,50.0000,,
39,79872,40,14.256345,50.0000,,
40,81920,40,13.909939,50.0000,14.073559,50.0000
41,83968,41,13.942078,50.0000,,
42,86016,40,13.996522,50.0000,,
43,88064,40,13.994333,50.0000,,
44,90112,40,14.182249,50.0000,,
45,92160,40,14.093411,50.0000,13.285849,50.0000
46,94208,41,14.052085,50.0000,,
47,96256,40,14.292507,50.0000,,
48,98304,40,14.083095,50.0000,,
49,100352,40,14.161815,50.0000,,
50,102400,40,14.428159,49.9250,14.463694,50.0000
51,104448,41,13.915229,49.9024,,
52,106496,40,14.196139,49.8250,,
53,108544,40,14.124634,49.9250,,
54,110592,41,14.043390,49.8537,,
55,112640,40,13.899834,49.8500,14.249142,50.0000
56,114688,41,14.304593,49.9024,,
57,116736,40,13.994072,49.9250,,
58,118784,40,14.301393,49.9750,,
59,120832,40,14.042676,49.8250,,
60,122880,41,14.059956,49.8293,14.622794,50.0000
61,124928,41,14.078269,49.8537,,
62,126976,40,14.124608,49.8250,,
63,129024,40,14.078408,49.7750,,
64,131072,41,14.009145,49.8293,,
65,133120,40,14.359771,49.8500,14.459050,50.0000
66,135168,41,14.276335,49.8537,,
67,137216,40,14.253424,49.7750,,
68,139264,40,14.268797,49.8750,,
69,141312,41,14.197587,49.9268,,
70,143360,40,14.003467,49.8750,14.069769,50.0000
71,145408,41,14.185420,49.9756,,
72,147456,40,14.227094,49.9000,,
73,149504,40,13.830195,49.8000,,
74,151552,40,14.027268,49.9000,,
75,153600,41,13.942077,49.8780,14.424990,49.7500
76,155648,41,14.273866,49.9268,,
77,157696,40,14.341025,49.8500,,
78,159744,40,14.095299,49.7000,,
79,161792,41,14.231082,49.7561,,
80,163840,40,14.351030,49.8750,14.538228,50.0000
81,165888,41,14.437903,49.8780,,
82,167936,40,13.897190,49.9000,,
83,169984,40,14.113344,49.8250,,
84,172032,40,14.287067,49.9250,,
85,174080,41,14.189978,49.9268,14.827010,50.0000
86,176128,41,14.113025,49.8049,,
87,178176,40,14.426711,49.8500,,
88,180224,40,14.093176,49.8000,,
89,182272,41,14.067517,49.8780,,
90,184320,40,14.008158,49.9500,14.584193,50.0000
91,186368,41,14.231147,49.8293,,
92,188416,40,14.358797,49.8000,,
93,190464,40,13.853545,49.8750,,
94,192512,41,14.147926,49.8049,,
95,194560,40,13.877227,49.8750,14.554895,50.0000
96,196608,41,14.316395,49.8537,,
97,198656,40,14.214002,49.8500,,
98,200704,40,14.184281,49.9250,,
99,202752,41,14.112648,49.8780,,
100,204800,40,14.221485,49.9000,14.530031,50.0000
101,206848,41,13.955665,49.8537,,
102,208896,40,14.149133,49.7750,,
103,210944,40,14.070894,49.8500,,
104,212992,41,14.099997,49.8049,,
105,215040,40,14.369212,49.9000,14.394264,50.0000
106,217088,41,14.163980,49.9268,,
107,219136,40,14.007112,49.9500,,
108,221184,40,14.359583,49.8500,,
109,223232,40,13.917630,49.8500,,
110,225280,41,14.082541,49.9024,15.264750,50.0000
111,227328,41,14.197157,49.8537,,
112,229376,40,14.187947,49.8500,,
113,231424,40,14.150573,49.8750,,
114,233472,41,13.954752,49.8049,,
115,235520,40,13.868127,49.8500,14.143712,50.0000
116,237568,41,14.275211,49.8780,,
117,239616,40,13.933215,49.8750,,
118,241664,40,14.263388,49.9250,,
119,243712,40,14.149120,49.8750,,
120,245760,41,13.824152,49.8049,14.297000,50.0000
121,247808,41,13.799366,49.6829,,
122,249856,40,14.169653,49.8500,,
123,251904,40,14.014465,49.9000,,
124,253952,41,14.086100,49.9024,,
125,256000,40,14.139495,49.8500,14.761194,50.0000
126,258048,41,14.117526,49.8049,,
127,260096,40,14.120164,49.8000,,
128,262144,40,14.030832,49.9250,,
129,264192,41,14.134402,49.9024,,
130,266240,40,14.298299,49.8250,14.799502,50.0000
131,268288,41,14.179637,49.8049,,
132,270336,40,14.425013,49.8500,,
133,272384,40,14.458040,49.9250,,
134,274432,41,14.298735,49.9024,,
135,276480,40,13.978684,49.9000,13.683157,49.7500
136,278528,41,13.913041,49.8293,,
137,280576,40,14.285534,49.7500,,
138,282624,40,14.228827,49.8750,,
139,284672,41,14.380240,49.9024,,
140,286720,40,13.988405,49.7750,14.836509,50.0000
141,288768,41,14.445925,49.8293,,
142,290816,40,14.157308,49.8500,,
143,292864,40,14.460870,49.8500,,
144,294912,41,13.902177,49.8293,,
145,296960,40,14.035168,49.9500,14.614515,49.7500
146,299008,41,14.159271,49.8537,,
147,301056,40,14.259918,49.8000,,
148,303104,41,14.393331,49.6341,,
