iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.207535,1.0021,0.182292,1.0000
200,51200,256,0.229708,1.0029,0.231874,1.0000
300,76800,256,0.273331,1.0306,0.272712,1.0000
400,102400,256,0.315222,1.0896,0.331941,1.2500
500,128000,256,0.380835,1.2634,0.396006,1.5000
600,153600,256,0.434546,1.5728,0.501564,1.5000
700,179200,256,0.524197,1.7981,0.740625,2.0000
800,204800,256,0.514451,1.9200,0.733089,2.0000
900,230400,256,0.539369,1.9536,0.745930,2.0000
1000,256000,256,0.566607,1.9627,0.773422,2.0000
1100,281600,256,0.568617,1.9850,0.780300,2.0000
1200,307200,256,0.562808,1.9765,0.780473,2.0000
1300,332800,256,0.573260,1.9927,0.747463,2.0000
1400,358400,256,0.626970,1.9911,0.778621,2.0000
1500,384000,256,0.615213,1.9970,0.790749,2.0000
1600,409600,256,0.598623,1.9918,0.759691,2.0000
1700,435200,256,0.634263,1.9856,0.771108,2.0000
1800,460800,256,0.625857,1.9997,0.775758,2.0000
1900,486400,256,0.618900,1.9999,0.785283,2.0000
2000,512000,256,0.612414,1.9955,0.772179,2.0000
2100,537600,256,0.632301,1.9900,0.772273,2.0000
2200,563200,256,0.635909,1.9895,0.773599,2.0000
2300,588800,256,0.636265,1.9965,0.782914,2.0000
2400,614400,256,0.665725,1.9940,0.795224,2.0000
2500,640000,256,0.665647,1.9899,0.786526,2.0000
2600,665600,256,0.626520,1.9932,0.793228,2.0000
2700,691200,256,0.632436,1.9999,0.804752,2.0000
2800,716800,256,0.653938,1.9990,0.792360,2.0000
2900,742400,256,0.654553,1.9949,0.800468,2.0000
3000,768000,256,0.660171,1.9967,0.792934,2.0000
3100,793600,256,0.623129,1.9946,0.787601,2.0000
3200,819200,256,0.626457,1.9966,0.795611,2.0000
3300,844800,256,0.621041,1.9955,0.805310,2.0000
3400,870400,256,0.675064,1.9886,0.813157,2.0000
3500,896000,256,0.658320,1.9979,0.797480,2.0000
3600,921600,256,0.628372,1.9959,0.804324,2.0000
3700,947200,256,0.640710,1.9996,0.803856,2.0000
3800,972800,256,0.649573,1.9999,0.807242,2.0000
3900,998400,256,0.640109,1.9943,0.800198,2.0000
4000,1024000,256,0.648593,1.9947,0.800752,2.0000
4100,1049600,256,0.644604,1.9909,0.808675,2.0000
4200,1075200,256,0.661979,1.9937,0.799468,2.0000
4300,1100800,256,0.659293,1.9970,0.804768,2.0000
4400,1126400,256,0.664097,1.9944,0.789993,2.0000
4500,1152000,256,0.680287,1.9959,0.805345,2.0000
4600,1177600,256,0.651069,1.9959,0.791092,2.0000
4700,1203200,256,0.662749,1.9826,0.809423,2.0000
4800,1228800,256,0.654322,1.9976,0.803491,2.0000
4900,1254400,256,0.658597,1.9999,0.800371,2.0000
5000,1280000,256,0.647226,1.9942,0.798451,2.0000
5100,1305600,256,0.665413,1.9966,0.772112,2.0000
5200,1331200,256,0.652604,1.9961,0.809300,2.0000
5300,1356800,256,0.660826,1.9850,0.777423,2.0000
5400,1382400,256,0.660951,1.9957,0.794024,2.0000
5500,1408000,256,0.664687,1.9923,0.801454,2.0000
5600,1433600,256,0.672477,1.9961,0.797017,2.0000
5700,1459200,256,0.670827,1.9992,0.808855,2.0000
5800,1484800,256,0.665243,1.9984,0.803551,2.0000
5900,1510400,256,0.680891,1.9967,0.804770,2.0000
6000,1536000,256,0.670529,1.9966,0.785877,2.0000
6100,1561600,256,0.676241,1.9999,0.797809,2.0000
6200,1587200,256,0.690127,1.9988,0.800724,2.0000
6300,1612800,256,0.687662,1.9950,0.798955,2.0000
6400,1638400,256,0.645120,1.9946,0.792623,2.0000
6500,1664000,256,0.639657,1.9962,0.801619,2.0000
6600,1689600,256,0.680621,1.9984,0.796371,2.0000
6700,1715200,256,0.669240,1.9922,0.792975,2.0000
6800,1740800,256,0.649825,1.9933,0.805841,2.0000
6900,1766400,256,0.683172,1.9938,0.794273,2.0000
7000,1792000,256,0.664826,1.9988,0.795605,2.0000
7100,1817600,256,0.678991,1.9961,0.811571,2.0000
7200,1843200,256,0.655295,1.9982,0.804289,2.0000
7300,1868800,256,0.653998,1.9893,0.788085,2.0000
7400,1894400,256,0.701924,1.9960,0.816460,2.0000
7500,1920000,256,0.691316,1.9960,0.812651,2.0000
7600,1945600,256,0.692809,1.9950,0.810018,2.0000
7700,1971200,256,0.674637,1.9945,0.805734,2.0000
7800,1996800,256,0.695814,1.9930,0.802729,2.0000
7900,2022400,256,0.686134,1.9980,0.805524,2.0000
8000,2048000,256,0.665677,1.9961,0.815985,2.0000
8100,2073600,256,0.677414,1.9961,0.808455,2.0000
8200,2099200,256,0.687748,1.9928,0.819989,2.0000
8300,2124800,256,0.683207,1.9960,0.821561,2.0000
8400,2150400,256,0.687671,1.9946,0.807314,2.0000
8500,2176000,256,0.690577,1.9998,0.802967,2.0000
8600,2201600,256,0.698252,1.9996,0.810430,2.0000
8700,2227200,256,0.682074,1.9961,0.813194,2.0000
8800,2252800,256,0.696181,2.0000,0.811299,2.0000
8900,2278400,256,0.717072,1.9963,0.812632,2.0000
9000,2304000,256,0.690239,1.9944,0.793757,2.0000
9100,2329600,256,0.688902,1.9974,0.806258,2.0000
9200,2355200,256,0.691121,1.9953,0.816388,2.0000
9300,2380800,256,0.675602,1.9919,0.809601,2.0000
9400,2406400,256,0.684087,1.9927,0.814628,2.0000
9500,2432000,256,0.704501,1.9959,0.805056,2.0000
9600,2457600,256,0.705637,1.9892,0.806127,2.0000
