iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.017075,1.0120,0.021397,1.0000
200,51200,256,0.016033,1.0319,0.010528,1.0000
300,76800,256,0.014946,1.0646,0.011472,1.0000
400,102400,256,0.017007,1.0397,0.009261,1.0000
500,128000,256,0.014430,1.1222,0.009311,1.5000
600,153600,256,0.015476,1.1141,0.025484,1.0000
700,179200,256,0.017040,1.0395,0.020885,1.0000
800,204800,256,0.015388,1.0554,0.015816,1.0000
900,230400,256,0.015774,1.0232,0.027820,1.0000
1000,256000,256,0.015869,1.0277,0.020818,1.0000
1100,281600,256,0.017058,1.0331,0.030347,1.0000
1200,307200,256,0.016801,1.0773,0.021584,1.0000
1300,332800,256,0.014884,1.0682,0.003624,1.0000
1400,358400,256,0.014279,1.0967,0.024695,1.2500
1500,384000,256,0.015960,1.0609,0.030200,1.0000
1600,409600,256,0.013474,1.0286,0.023654,1.0000
1700,435200,256,0.016567,1.0101,0.017129,1.0000
1800,460800,256,0.015059,1.0327,0.013023,1.0000
1900,486400,256,0.015769,1.0294,0.012060,1.0000
2000,512000,256,0.015614,1.0466,0.008475,1.0000
2100,537600,256,0.014592,1.0324,0.016506,1.0000
2200,563200,256,0.015116,1.0428,0.008047,1.0000
2300,588800,256,0.014895,1.0473,0.008162,1.0000
2400,614400,256,0.015619,1.0622,0.024403,1.0000
2500,640000,256,0.015381,1.0842,0.015092,1.0000
2600,665600,256,0.015730,1.0639,0.008160,1.0000
2700,691200,256,0.015315,1.0890,0.015893,1.0000
2800,716800,256,0.015928,1.0654,0.011460,1.0000
2900,742400,256,0.015890,1.0556,0.026220,1.0000
3000,768000,256,0.017163,1.0750,0.026170,1.0000
3100,793600,256,0.013097,1.1143,0.023451,1.2500
3200,819200,256,0.016603,1.1131,0.017890,1.2500
3300,844800,256,0.016934,1.1037,0.017298,1.0000
3400,870400,256,0.017576,1.0598,0.027520,1.0000
3500,896000,256,0.016254,1.1059,0.020649,1.0000
3600,921600,256,0.015164,1.0494,0.007362,1.0000
3700,947200,256,0.016337,1.0643,0.024826,1.0000
3800,972800,256,0.016245,1.1583,0.002722,2.0000
3900,998400,256,0.015567,1.0378,0.020285,1.0000
4000,1024000,256,0.015625,1.0854,0.008456,1.0000
4100,1049600,256,0.015375,1.0513,0.023233,1.0000
4200,1075200,256,0.016451,1.0577,0.003541,1.0000
4300,1100800,256,0.015621,1.0379,0.013499,1.0000
4400,1126400,256,0.015805,1.0094,0.028517,1.0000
4500,1152000,256,0.016368,1.0493,0.003341,1.0000
4600,1177600,256,0.017121,1.0308,0.030309,1.0000
4700,1203200,256,0.016272,1.0309,0.022441,1.0000
4800,1228800,256,0.015093,1.0093,0.017092,1.0000
4900,1254400,256,0.015568,1.0140,0.027912,1.0000
5000,1280000,256,0.015195,1.0073,0.026340,1.0000
5100,1305600,256,0.014631,1.0425,0.012476,1.0000
5200,1331200,256,0.015169,1.0140,0.014608,1.0000
5300,1356800,256,0.016479,1.0391,0.029998,1.0000
5400,1382400,256,0.015488,1.0167,0.013815,1.0000
5500,1408000,256,0.015881,1.0178,0.002600,1.0000
5600,1433600,256,0.013316,1.0228,0.007844,1.0000
5700,1459200,256,0.015168,1.0295,0.010741,1.0000
5800,1484800,256,0.014057,1.0233,0.013253,1.0000
5900,1510400,256,0.015191,1.0481,0.020549,1.0000
6000,1536000,256,0.014457,1.0232,0.014082,1.0000
6100,1561600,256,0.016355,1.2089,0.015905,1.0000
6200,1587200,256,0.014327,1.1063,0.021430,1.0000
6300,1612800,256,0.013687,1.0455,0.021052,1.0000
6400,1638400,256,0.016818,1.2262,0.028061,1.2500
6500,1664000,256,0.017060,1.0575,0.023724,1.0000
6600,1689600,256,0.016095,1.0936,0.020527,1.0000
6700,1715200,256,0.014631,1.0295,0.037144,1.0000
6800,1740800,256,0.014018,1.0779,0.013333,1.0000
6900,1766400,256,0.015565,1.0534,0.008731,1.0000
7000,1792000,256,0.016455,1.0098,0.031784,1.0000
7100,1817600,256,0.013772,1.0477,0.010460,1.0000
7200,1843200,256,0.015256,1.0161,0.016586,1.0000
7300,1868800,256,0.015724,1.0330,0.023702,1.0000
7400,1894400,256,0.016464,1.0239,0.026836,1.0000
7500,1920000,256,0.014854,1.0313,0.023613,1.0000
7600,1945600,256,0.015051,1.0604,0.007503,1.0000
7700,1971200,256,0.015036,1.0290,0.010458,1.0000
7800,1996800,256,0.016334,1.0157,0.010404,1.0000
7900,2022400,256,0.015474,1.0308,0.013125,1.0000
8000,2048000,256,0.016110,1.0380,0.018302,1.0000
