iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.024150,14.0000,0.026815,14.0000
200,51200,256,0.019928,14.0000,0.012498,14.0000
300,76800,256,0.020095,14.0000,0.016021,14.0000
400,102400,256,0.018305,14.0000,0.011145,14.0000
500,128000,256,0.020256,14.0000,0.015149,14.0000
600,153600,256,0.018953,14.0000,0.022524,14.0000
700,179200,256,0.018440,14.0000,0.018454,14.0000
800,204800,256,0.020192,14.0000,0.008659,14.0000
900,230400,256,0.020440,14.0000,0.010134,14.0000
1000,256000,256,0.022057,14.0000,0.017851,14.0000
1100,281600,256,0.023554,14.0000,0.031347,14.0000
1200,307200,256,0.021973,14.0000,0.012659,14.0000
1300,332800,256,0.020952,14.0000,0.015910,14.0000
1400,358400,256,0.020193,14.0000,0.012554,14.0000
1500,384000,256,0.019264,14.0000,0.034796,14.0000
1600,409600,256,0.022613,14.0000,0.027344,14.0000
1700,435200,256,0.022230,14.0000,0.019237,14.0000
1800,460800,256,0.019716,14.0000,0.023935,14.0000
1900,486400,256,0.023210,14.0000,0.013855,14.0000
2000,512000,256,0.022303,14.0000,0.016474,14.0000
2100,537600,256,0.020493,14.0000,0.016647,14.0000
2200,563200,256,0.021277,14.0000,0.013301,14.0000
2300,588800,256,0.020003,14.0000,0.012895,14.0000
2400,614400,256,0.020763,14.0000,0.032430,14.0000
2500,640000,256,0.021236,14.0000,0.016332,14.0000
2600,665600,256,0.020678,14.0000,0.018889,14.0000
2700,691200,256,0.021737,14.0000,0.016265,14.0000
2800,716800,256,0.019527,14.0000,0.021754,14.0000
2900,742400,256,0.017819,14.0000,0.020802,14.0000
3000,768000,256,0.020901,14.0000,0.030611,14.0000
3100,793600,256,0.020116,14.0000,0.017378,14.0000
3200,819200,256,0.020611,14.0000,0.043338,14.0000
3300,844800,256,0.021897,14.0000,0.021183,14.0000
3400,870400,256,0.022841,14.0000,0.031539,14.0000
3500,896000,256,0.020696,14.0000,0.049302,14.0000
3600,921600,256,0.020822,14.0000,0.016662,14.0000
3700,947200,256,0.020758,14.0000,0.009469,14.0000
3800,972800,256,0.018646,14.0000,0.016572,14.0000
3900,998400,256,0.018832,14.0000,0.010807,14.0000
4000,1024000,256,0.020493,14.0000,0.019823,14.0000
4100,1049600,256,0.021932,14.0000,0.019589,14.0000
4200,1075200,256,0.021845,14.0000,0.028983,14.0000
4300,1100800,256,0.020163,14.0000,0.013917,14.0000
4400,1126400,256,0.020867,14.0000,0.008686,14.0000
4500,1152000,256,0.019315,14.0000,0.020820,14.0000
4600,1177600,256,0.019335,14.0000,0.010880,14.0000
4700,1203200,256,0.022612,14.0000,0.032164,14.0000
4800,1228800,256,0.020763,14.0000,0.013650,14.0000
4900,1254400,256,0.018668,14.0000,0.009407,14.0000
5000,1280000,256,0.022750,14.0000,0.012739,14.0000
5100,1305600,256,0.021659,14.0000,0.049063,14.0000
5200,1331200,256,0.018128,14.0000,0.013667,14.0000
5300,1356800,256,0.020282,14.0000,0.030583,14.0000
5400,1382400,256,0.021703,14.0000,0.018606,14.0000
5500,1408000,256,0.019246,14.0000,0.007681,14.0000
5600,1433600,256,0.021275,14.0000,0.032571,14.0000
5700,1459200,256,0.019524,14.0000,0.018719,14.0000
5800,1484800,256,0.018559,14.0000,0.010401,14.0000
5900,1510400,256,0.023204,14.0000,0.011789,14.0000
6000,1536000,256,0.019872,14.0000,0.022011,14.0000
6100,1561600,256,0.019646,14.0000,0.015974,14.0000
6200,1587200,256,0.019589,14.0000,0.012089,14.0000
6300,1612800,256,0.019754,14.0000,0.054532,14.0000
6400,1638400,256,0.018918,14.0000,0.025513,14.0000
6500,1664000,256,0.020957,14.0000,0.024734,14.0000
6600,1689600,256,0.020835,14.0000,0.024620,14.0000
6700,1715200,256,0.019988,14.0000,0.026407,14.0000
6800,1740800,256,0.020677,14.0000,0.026048,14.0000
6900,1766400,256,0.019558,14.0000,0.019349,14.0000
7000,1792000,256,0.021313,14.0000,0.010998,14.0000
7100,1817600,256,0.020644,14.0000,0.008110,14.0000
7200,1843200,256,0.019550,14.0000,0.032620,14.0000
7300,1868800,256,0.021357,14.0000,0.026501,14.0000
7400,1894400,256,0.020669,14.0000,0.035458,14.0000
7500,1920000,256,0.019607,14.0000,0.016604,14.0000
7600,1945600,256,0.019701,14.0000,0.015860,14.0000
7700,1971200,256,0.019637,14.0000,0.007783,14.0000
7800,1996800,256,0.021455,14.0000,0.019908,14.0000
7900,2022400,256,0.021501,14.0000,0.012095,14.0000
8000,2048000,256,0.023297,14.0000,0.050572,14.0000
8100,2073600,256,0.020492,14.0000,0.030423,14.0000
8200,2099200,256,0.022452,14.0000,0.021215,14.0000
8300,2124800,256,0.021089,14.0000,0.023430,14.0000
8400,2150400,256,0.021495,14.0000,0.019199,14.0000
8500,2176000,256,0.022115,14.0000,0.021631,14.0000
8600,2201600,256,0.022493,14.0000,0.021681,14.0000
8700,2227200,256,0.020281,14.0000,0.013775,14.0000
8800,2252800,256,0.017618,14.0000,0.026316,14.0000
8900,2278400,256,0.019350,14.0000,0.019259,14.0000
9000,2304000,256,0.022549,14.0000,0.009131,14.0000
9100,2329600,256,0.020325,14.0000,0.022394,14.0000
9200,2355200,256,0.019444,14.0000,0.011156,14.0000
9300,2380800,256,0.021185,14.0000,0.030519,14.0000
9400,2406400,256,0.021354,14.0000,0.022242,14.0000
9500,2432000,256,0.020380,14.0000,0.017010,14.0000
9600,2457600,256,0.020344,14.0000,0.015173,14.0000
9700,2483200,256,0.020168,14.0000,0.014112,14.0000
9800,2508800,256,0.020008,14.0000,0.008360,14.0000
9900,2534400,256,0.021280,14.0000,0.028344,14.0000
10000,2560000,256,0.019904,14.0000,0.014991,14.0000
10100,2585600,256,0.022017,14.0000,0.012115,14.0000
10200,2611200,256,0.018560,14.0000,0.039326,14.0000
10300,2636800,256,0.018789,14.0000,0.020161,14.0000
10400,2662400,256,0.018690,14.0000,0.019463,14.0000
10500,2688000,256,0.019009,14.0000,0.016252,14.0000
10600,2713600,256,0.019321,14.0000,0.018757,14.0000
10700,2739200,256,0.017363,14.0000,0.039763,14.0000
10800,2764800,256,0.022869,14.0000,0.028676,14.0000
10900,2790400,256,0.018423,14.0000,0.058407,14.0000
11000,2816000,256,0.018817,14.0000,0.011669,14.0000
11100,2841600,256,0.018973,14.0000,0.018869,14.0000
11200,2867200,256,0.021034,14.0000,0.017780,14.0000
11300,2892800,256,0.021791,14.0000,0.023012,14.0000
11400,2918400,256,0.022464,14.0000,0.010838,14.0000
11500,2944000,256,0.019928,14.0000,0.021072,14.0000
11600,2969600,256,0.022942,14.0000,0.003651,14.0000
11700,2995200,256,0.018167,14.0000,0.019932,14.0000
11800,3020800,256,0.021126,14.0000,0.025564,14.0000
11900,3046400,256,0.023302,14.0000,0.006742,14.0000
12000,3072000,256,0.019924,14.0000,0.018656,14.0000
12100,3097600,256,0.020932,14.0000,0.040467,14.0000
12200,3123200,256,0.019684,14.0000,0.036079,14.0000
12300,3148800,256,0.019793,14.0000,0.005374,14.0000
12400,3174400,256,0.019722,14.0000,0.020471,14.0000
12500,3200000,256,0.020534,14.0000,0.011901,14.0000
12600,3225600,256,0.020515,14.0000,0.019751,14.0000
12700,3251200,256,0.019213,14.0000,0.027458,14.0000
12800,3276800,256,0.020640,14.0000,0.027249,14.0000
12900,3302400,256,0.021635,14.0000,0.029042,14.0000
13000,3328000,256,0.021255,14.0000,0.018486,14.0000
13100,3353600,256,0.021743,14.0000,0.026068,14.0000
13200,3379200,256,0.019721,14.0000,0.011850,14.0000
13300,3404800,256,0.019383,14.0000,0.034637,14.0000
13400,3430400,256,0.019619,14.0000,0.023989,14.0000
13500,3456000,256,0.022378,14.0000,0.016350,14.0000
13600,3481600,256,0.020402,14.0000,0.018978,14.0000
13700,3507200,256,0.019764,14.0000,0.010214,14.0000
13800,3532800,256,0.019245,14.0000,0.044115,14.0000
13900,3558400,256,0.021661,14.0000,0.009719,14.0000
14000,3584000,256,0.021559,14.0000,0.009145,14.0000
14100,3609600,256,0.019156,14.0000,0.018437,14.0000
14200,3635200,256,0.020266,14.0000,0.011406,14.0000
14300,3660800,256,0.020107,14.0000,0.008208,14.0000
14400,3686400,256,0.020616,14.0000,0.016035,14.0000
14500,3712000,256,0.017974,14.0000,0.025269,14.0000
14600,3737600,256,0.021989,14.0000,0.012094,14.0000
14700,3763200,256,0.020204,14.0000,0.012770,14.0000
14800,3788800,256,0.022846,14.0000,0.033674,14.0000
14900,3814400,256,0.019806,14.0000,0.010963,14.0000
15000,3840000,256,0.019833,14.0000,0.016180,14.0000
15100,3865600,256,0.019422,14.0000,0.026577,14.0000
