iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
154,492800,1,9.329852,10.0000,,
155,496000,1,9.724234,10.0000,9.558580,10.0000
156,499200,1,9.934851,10.0000,,
157,502400,1,10.042743,10.0000,,
158,505600,1,8.738961,10.0000,,
159,508800,1,7.840284,10.0000,,
160,512000,1,9.562164,10.0000,9.912474,10.0000
161,515200,1,9.704503,10.0000,,
162,518400,1,10.398319,10.0000,,
163,521600,1,8.675106,10.0000,,
164,524800,1,9.162042,10.0000,,
165,528000,1,9.778488,10.0000,9.810568,10.0000
166,531200,1,10.413539,10.0000,,
167,534400,1,9.982199,10.0000,,
168,537600,1,9.884019,10.0000,,
169,540800,1,9.799430,10.0000,,
170,544000,1,8.712996,10.0000,9.739922,10.0000
171,547200,1,9.633691,10.0000,,
172,550400,1,9.452255,10.0000,,
173,553600,1,9.611304,10.0000,,
174,556800,1,9.622733,10.0000,,
175,560000,1,9.538578,10.0000,9.709516,10.0000
176,563200,1,9.949725,10.0000,,
177,566400,1,9.570278,10.0000,,
178,569600,1,9.204842,10.0000,,
179,572800,1,9.743525,10.0000,,
180,576000,1,9.918905,10.0000,10.050239,10.0000
181,579200,1,9.899670,10.0000,,
182,582400,1,9.916088,10.0000,,
183,585600,1,9.273568,10.0000,,
184,588800,1,9.028133,10.0000,,
185,592000,1,9.641768,10.0000,9.653102,10.0000
186,595200,1,9.034082,10.0000,,
187,598400,1,8.344290,10.0000,,
188,601600,1,9.168105,10.0000,,
189,604800,1,10.036057,10.0000,,
190,608000,1,9.869762,10.0000,9.820429,10.0000
191,611200,1,9.950190,10.0000,,
192,614400,1,9.060011,10.0000,,
193,617600,1,9.892136,10.0000,,
194,620800,1,9.745655,10.0000,,
195,624000,1,9.417736,10.0000,9.687215,10.0000
196,627200,1,8.946629,10.0000,,
197,630400,1,9.306995,10.0000,,
198,633600,1,9.944164,10.0000,,
199,636800,1,9.215372,10.0000,,
200,640000,1,9.667644,10.0000,9.632255,10.0000
