iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.682631,4.9936,0.667515,5.0000
200,51200,256,0.846817,6.5798,0.834451,6.5000
300,76800,256,0.910877,7.0194,0.874227,7.0000
400,102400,256,0.924595,7.1675,0.935536,7.0000
500,128000,256,0.952525,7.2212,0.956217,7.0000
600,153600,256,0.967650,7.1511,0.975315,7.0000
700,179200,256,0.949781,7.1397,0.972780,7.0000
800,204800,256,0.958164,7.1722,0.976881,7.0000
900,230400,256,0.967214,7.1575,0.981257,7.0000
1000,256000,256,0.962613,7.1062,0.980542,7.0000
1100,281600,256,0.965836,7.1581,0.984688,7.0000
1200,307200,256,0.957268,7.1294,0.989027,7.0000
1300,332800,256,0.973278,7.1316,0.987674,7.0000
1400,358400,256,0.971744,7.0917,0.988508,7.0000
1500,384000,256,0.974447,7.1111,0.988354,7.0000
1600,409600,256,0.971582,7.1127,0.989298,7.0000
1700,435200,256,0.980271,7.0585,0.988663,7.0000
1800,460800,256,0.972090,7.1126,0.993445,7.0000
1900,486400,256,0.977112,7.0933,0.991077,7.0000
2000,512000,256,0.976801,7.1100,0.985343,7.0000
2100,537600,256,0.974573,7.0712,0.989919,7.0000
2200,563200,256,0.984463,7.0522,0.990676,7.0000
2300,588800,256,0.967205,7.0848,0.991095,7.0000
2400,614400,256,0.975838,7.1019,0.985160,7.0000
2500,640000,256,0.976881,7.0619,0.988546,7.0000
2600,665600,256,0.972016,7.0727,0.994754,7.0000
2700,691200,256,0.978101,7.0352,0.990579,7.0000
2800,716800,256,0.979587,7.0665,0.991922,7.0000
2900,742400,256,0.978685,7.0872,0.991270,7.0000
3000,768000,256,0.972133,7.0527,0.992884,7.0000
3100,793600,256,0.982044,7.0460,0.991731,7.0000
3200,819200,256,0.974680,7.0798,0.988360,7.0000
3300,844800,256,0.976131,7.0463,0.991165,7.0000
3400,870400,256,0.984718,7.0449,0.993016,7.0000
3500,896000,256,0.986237,7.0225,0.992154,7.0000
3600,921600,256,0.978773,7.0603,0.990910,7.0000
3700,947200,256,0.986372,7.0399,0.994948,7.0000
3800,972800,256,0.974980,7.0521,0.991782,7.0000
3900,998400,256,0.984890,7.0397,0.995282,7.0000
4000,1024000,256,0.985542,7.0421,0.992971,7.0000
4100,1049600,256,0.990434,7.0255,0.994127,7.0000
4200,1075200,256,0.979025,7.0501,0.993905,7.0000
4300,1100800,256,0.983047,7.0542,0.995402,7.0000
4400,1126400,256,0.981809,7.0355,0.991631,7.0000
4500,1152000,256,0.987209,7.0276,0.988209,7.0000
4600,1177600,256,0.989173,7.0364,0.993735,7.0000
4700,1203200,256,0.985968,7.0286,0.994159,7.0000
4800,1228800,256,0.979801,7.0480,0.992661,7.0000
4900,1254400,256,0.987488,7.0335,0.994236,7.0000
5000,1280000,256,0.988254,7.0266,0.995122,7.0000
5100,1305600,256,0.989528,7.0286,0.995898,7.0000
5200,1331200,256,0.987269,7.0204,0.991440,7.0000
5300,1356800,256,0.987202,7.0210,0.994145,7.0000
5400,1382400,256,0.984672,7.0176,0.993959,7.0000
5500,1408000,256,0.986714,7.0210,0.994652,7.0000
5600,1433600,256,0.986745,7.0462,0.994291,7.0000
5700,1459200,256,0.981569,7.0313,0.992232,7.0000
5800,1484800,256,0.987893,7.0178,0.990780,7.0000
5900,1510400,256,0.978928,7.0464,0.995030,7.0000
6000,1536000,256,0.978770,7.0454,0.996461,7.0000
6100,1561600,256,0.984451,7.0299,0.995607,7.0000
6200,1587200,256,0.982661,7.0141,0.990300,7.0000
6300,1612800,256,0.984252,7.0362,0.994083,7.0000
6400,1638400,256,0.991043,7.0181,0.992775,7.0000
