iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.019681,1.7748,0.014564,1.0000
200,51200,256,0.021608,1.7283,0.045962,1.7500
300,76800,256,0.020517,1.7794,0.013107,1.7500
400,102400,256,0.021717,1.6576,0.025166,1.7500
500,128000,256,0.020524,2.0090,0.013787,1.7500
600,153600,256,0.021464,2.1279,0.011532,1.7500
700,179200,256,0.018593,1.9746,0.014480,1.0000
800,204800,256,0.022171,2.2544,0.021151,2.2500
900,230400,256,0.019116,2.3021,0.013550,2.2500
1000,256000,256,0.019993,2.7426,0.005953,2.0000
1100,281600,256,0.019361,2.4396,0.023191,1.0000
1200,307200,256,0.018590,2.2963,0.010951,1.0000
1300,332800,256,0.019995,2.2931,0.009136,2.0000
1400,358400,256,0.023322,1.9909,0.015058,1.2500
1500,384000,256,0.018871,2.1594,0.025968,1.0000
1600,409600,256,0.021026,2.3086,0.023846,1.0000
1700,435200,256,0.020277,2.0135,0.020667,1.7500
1800,460800,256,0.018062,1.8218,0.017510,1.2500
1900,486400,256,0.019879,2.0216,0.012331,1.2500
2000,512000,256,0.018041,1.9445,0.028141,1.0000
2100,537600,256,0.018488,1.9553,0.013256,1.0000
2200,563200,256,0.021215,1.9302,0.016902,1.2500
2300,588800,256,0.021707,1.6875,0.012358,1.2500
2400,614400,256,0.020288,1.7180,0.026665,1.2500
2500,640000,256,0.019920,1.8948,0.017048,1.2500
2600,665600,256,0.020346,1.8547,0.013311,1.2500
2700,691200,256,0.019513,1.8027,0.037055,1.2500
2800,716800,256,0.020801,1.9936,0.016817,1.2500
2900,742400,256,0.020618,2.0515,0.012379,1.2500
3000,768000,256,0.019079,1.8305,0.031812,1.2500
3100,793600,256,0.019902,1.8987,0.035574,1.2500
3200,819200,256,0.020645,1.9605,0.012660,1.2500
3300,844800,256,0.020585,1.9432,0.018202,1.2500
3400,870400,256,0.019766,1.8185,0.033733,1.2500
3500,896000,256,0.021731,1.8828,0.007579,1.2500
3600,921600,256,0.019597,1.9454,0.032840,1.2500
3700,947200,256,0.020077,2.1000,0.028993,1.5000
3800,972800,256,0.021556,2.3156,0.013128,1.7500
3900,998400,256,0.020980,2.5132,0.029471,1.7500
4000,1024000,256,0.020742,2.8170,0.020688,1.7500
4100,1049600,256,0.019732,2.4715,0.010905,1.7500
4200,1075200,256,0.019516,2.6215,0.021842,2.5000
4300,1100800,256,0.020129,2.4738,0.006246,2.5000
4400,1126400,256,0.019455,2.2554,0.021888,2.5000
4500,1152000,256,0.020957,2.2612,0.014122,2.5000
4600,1177600,256,0.021495,2.1950,0.018813,2.5000
4700,1203200,256,0.020315,2.1177,0.042422,2.5000
4800,1228800,256,0.020679,2.2792,0.015901,2.5000
4900,1254400,256,0.021149,2.1159,0.026641,2.5000
5000,1280000,256,0.019652,2.0009,0.013524,2.5000
5100,1305600,256,0.018135,2.2622,0.011797,2.5000
5200,1331200,256,0.019708,1.9533,0.018850,1.7500
5300,1356800,256,0.017867,1.8996,0.033388,1.7500
5400,1382400,256,0.019604,2.0023,0.040575,2.5000
