iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
154,492800,1,5.575275,10.0000,,
155,496000,1,6.279882,10.0000,5.535254,10.0000
156,499200,1,5.553296,10.0000,,
157,502400,1,5.904215,10.0000,,
158,505600,1,4.840782,10.0000,,
159,508800,1,5.549125,10.0000,,
160,512000,1,4.799017,10.0000,5.776218,10.0000
161,515200,1,5.819442,10.0000,,
162,518400,1,5.986944,10.0000,,
163,521600,1,5.190701,10.0000,,
164,524800,1,5.445240,10.0000,,
165,528000,1,5.146568,10.0000,5.471453,10.0000
166,531200,1,5.246119,10.0000,,
167,534400,1,5.777647,10.0000,,
168,537600,1,4.868200,10.0000,,
169,540800,1,5.398149,10.0000,,
170,544000,1,4.477536,10.0000,6.101437,10.0000
171,547200,1,5.937794,10.0000,,
172,550400,1,5.963126,10.0000,,
173,553600,1,6.184218,10.0000,,
174,556800,1,5.387178,10.0000,,
175,560000,1,6.647695,10.0000,5.455928,10.0000
176,563200,1,5.855134,10.0000,,
177,566400,1,5.340601,10.0000,,
178,569600,1,5.908541,10.0000,,
179,572800,1,6.038428,10.0000,,
180,576000,1,5.671268,10.0000,5.333693,10.0000
181,579200,1,5.850204,10.0000,,
182,582400,1,5.426763,10.0000,,
183,585600,1,5.721364,10.0000,,
184,588800,1,6.383718,10.0000,,
185,592000,1,5.326118,10.0000,5.471739,10.0000
186,595200,1,5.546389,10.0000,,
187,598400,1,6.007282,10.0000,,
188,601600,1,5.240439,10.0000,,
189,604800,1,5.590549,10.0000,,
190,608000,1,6.037262,10.0000,5.592460,10.0000
191,611200,1,6.198013,10.0000,,
192,614400,1,5.265495,10.0000,,
193,617600,1,4.845433,10.0000,,
194,620800,1,5.107217,10.0000,,
195,624000,1,5.955601,10.0000,5.689125,10.0000
196,627200,1,5.235248,10.0000,,
197,630400,1,5.868711,10.0000,,
198,633600,1,6.052227,10.0000,,
199,636800,1,5.517691,10.0000,,
200,640000,1,4.918226,10.0000,5.748623,10.0000
