iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
154,315392,61,14.094205,32.5246,,
155,317440,67,14.011734,29.1045,13.925853,45.7500
156,319488,69,13.952435,29.3043,,
157,321536,64,14.024592,30.8750,,
158,323584,58,13.905145,34.5172,,
159,325632,62,14.218013,31.9516,,
160,327680,66,14.146006,29.9697,13.641942,42.0000
161,329728,63,14.037145,32.2222,,
162,331776,64,14.007189,30.8594,,
163,333824,65,13.929112,29.9846,,
164,335872,64,13.950366,31.3438,,
165,337920,70,14.232529,28.2429,13.941556,42.7500
166,339968,64,14.281567,31.3906,,
167,342016,58,14.158970,34.3276,,
168,344064,65,14.378121,30.7385,,
169,346112,66,14.098795,30.1061,,
170,348160,67,14.276107,29.5672,14.471764,42.5000
171,350208,68,13.978463,29.4265,,
172,352256,74,14.178781,26.8784,,
173,354304,73,14.144028,27.1918,,
174,356352,63,13.891624,31.2857,,
175,358400,64,14.238432,30.8594,13.854309,42.2500
176,360448,66,14.342181,30.5455,,
177,362496,66,14.281047,29.9697,,
178,364544,72,13.890462,27.0833,,
179,366592,69,14.224820,29.0870,,
180,368640,71,14.057077,27.7465,15.018027,42.7500
181,370688,70,14.182276,28.8857,,
182,372736,64,13.954866,30.6875,,
183,374784,73,13.948856,27.3425,,
184,376832,72,14.277514,27.3056,,
185,378880,71,14.222349,27.8028,13.873568,50.0000
186,380928,70,13.998846,28.3286,,
187,382976,75,14.137405,26.3333,,
188,385024,66,14.203470,29.9242,,
189,387072,66,14.328036,30.6667,,
190,389120,66,14.295610,30.0000,14.607604,34.0000
191,391168,76,14.004576,25.9474,,
192,393216,65,14.165977,30.7385,,
193,395264,66,14.125236,29.7576,,
194,397312,70,14.228583,28.1857,,
195,399360,67,13.907810,29.7612,14.413309,44.5000
196,401408,66,14.179464,30.6061,,
197,403456,69,14.078235,28.5072,,
198,405504,71,14.156969,28.1127,,
199,407552,76,14.184478,26.0000,,
200,409600,69,14.292353,28.6522,14.159410,37.5000
201,411648,72,14.072057,27.7778,,
202,413696,65,14.256089,30.8154,,
203,415744,73,14.250966,26.9452,,
204,417792,73,14.120419,27.0685,,
205,419840,72,14.201908,27.5694,15.041593,42.2500
206,421888,69,14.076007,29.3478,,
207,423936,70,14.464644,28.1571,,
208,425984,67,14.058268,29.0149,,
209,428032,72,14.181042,27.8611,,
210,430080,66,14.177787,29.8333,14.761623,41.7500
211,432128,70,14.353467,28.7714,,
212,434176,65,13.967609,30.7231,,
213,436224,70,13.972392,28.1571,,
214,438272,74,14.140665,26.5270,,
215,440320,67,13.938233,29.8358,14.791272,42.2500
216,442368,68,14.005925,29.6029,,
