iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.081665,1.2684,0.022031,1.0000
200,51200,256,0.107440,1.2314,0.077052,1.7500
300,76800,256,0.147694,1.6541,0.092879,1.7500
400,102400,256,0.192990,1.8224,0.144263,1.7500
500,128000,256,0.200307,1.9534,0.182219,2.0000
600,153600,256,0.223899,1.9975,0.197577,2.0000
700,179200,256,0.236974,1.9990,0.194276,2.0000
800,204800,256,0.244941,1.9993,0.219611,2.0000
900,230400,256,0.250657,1.9999,0.211436,2.0000
1000,256000,256,0.252826,2.0000,0.208466,2.0000
1100,281600,256,0.275040,2.0000,0.222501,2.0000
1200,307200,256,0.252249,2.0000,0.242715,2.0000
1300,332800,256,0.279984,2.0000,0.233327,2.0000
1400,358400,256,0.268838,2.0000,0.241968,2.0000
1500,384000,256,0.290716,2.0000,0.212197,2.0000
1600,409600,256,0.280503,2.0000,0.135055,2.0000
1700,435200,256,0.297024,2.0000,0.187014,2.0000
1800,460800,256,0.290329,2.0000,0.194633,2.0000
1900,486400,256,0.325597,2.0000,0.237996,2.0000
2000,512000,256,0.319125,2.0000,0.181060,2.0000
2100,537600,256,0.336813,2.0000,0.232620,2.0000
2200,563200,256,0.317573,2.0000,0.235371,2.0000
2300,588800,256,0.339445,2.0000,0.162904,2.0000
2400,614400,256,0.335963,2.0000,0.229219,2.0000
2500,640000,256,0.338939,2.0000,0.181786,2.0000
2600,665600,256,0.318459,2.0000,0.183061,2.0000
2700,691200,256,0.339131,2.0000,0.168343,2.0000
2800,716800,256,0.327858,2.0000,0.196939,2.0000
2900,742400,256,0.312614,2.0000,0.241266,2.0000
3000,768000,256,0.326145,2.0000,0.209402,2.0000
3100,793600,256,0.344031,2.0000,0.235577,2.0000
3200,819200,256,0.327185,2.0000,0.255914,2.0000
3300,844800,256,0.335580,2.0000,0.256992,2.0000
3400,870400,256,0.342114,2.0000,0.262280,2.0000
3500,896000,256,0.323603,2.0000,0.221555,2.0000
3600,921600,256,0.342951,2.0000,0.260357,2.0000
3700,947200,256,0.357979,2.0000,0.304920,2.0000
3800,972800,256,0.343261,2.0000,0.231979,2.0000
3900,998400,256,0.344534,2.0000,0.324195,2.0000
4000,1024000,256,0.346753,2.0000,0.278714,2.0000
4100,1049600,256,0.360409,2.0000,0.270292,2.0000
4200,1075200,256,0.350516,2.0000,0.293653,2.0000
4300,1100800,256,0.350516,2.0000,0.296141,2.0000
4400,1126400,256,0.358158,2.0000,0.342445,2.0000
4500,1152000,256,0.363781,2.0000,0.303981,2.0000
4600,1177600,256,0.363032,2.0000,0.321879,2.0000
4700,1203200,256,0.351650,2.0000,0.377248,2.0000
4800,1228800,256,0.354440,2.0000,0.362571,2.0000
4900,1254400,256,0.369750,2.0000,0.396935,2.0000
5000,1280000,256,0.358363,2.0000,0.408078,2.0000
5100,1305600,256,0.349497,2.0000,0.391193,2.0000
5200,1331200,256,0.363995,2.0000,0.445560,2.0000
5300,1356800,256,0.367302,2.0000,0.386060,2.0000
5400,1382400,256,0.357080,2.0000,0.432199,2.0000
5500,1408000,256,0.343538,2.0000,0.446458,2.0000
5600,1433600,256,0.362852,2.0000,0.444686,2.0000
5700,1459200,256,0.358214,2.0000,0.419435,2.0000
5800,1484800,256,0.348335,2.0000,0.434246,2.0000
5900,1510400,256,0.378512,2.0000,0.431656,2.0000
6000,1536000,256,0.372983,2.0000,0.364511,2.0000
6100,1561600,256,0.362803,2.0000,0.443150,2.0000
6200,1587200,256,0.383009,2.0000,0.425533,2.0000
6300,1612800,256,0.362305,2.0000,0.427668,2.0000
6400,1638400,256,0.362226,2.0000,0.440174,2.0000
6500,1664000,256,0.373983,2.0000,0.441385,2.0000
6600,1689600,256,0.376582,2.0000,0.435873,2.0000
6700,1715200,256,0.366971,2.0000,0.447897,2.0000
6800,1740800,256,0.380698,2.0000,0.430839,2.0000
6900,1766400,256,0.386955,2.0000,0.416109,2.0000
7000,1792000,256,0.376136,2.0000,0.427254,2.0000
7100,1817600,256,0.383669,2.0000,0.472222,2.0000
7200,1843200,256,0.371574,2.0000,0.474057,2.0000
7300,1868800,256,0.397164,2.0000,0.437067,2.0000
7400,1894400,256,0.358118,2.0000,0.406476,2.0000
7500,1920000,256,0.382312,2.0000,0.451940,2.0000
7600,1945600,256,0.385902,2.0000,0.446751,2.0000
7700,1971200,256,0.357760,2.0000,0.445928,2.0000
7800,1996800,256,0.374807,2.0000,0.456252,2.0000
7900,2022400,256,0.374132,2.0000,0.444990,2.0000
8000,2048000,256,0.397694,2.0000,0.431285,2.0000
8100,2073600,256,0.376091,2.0000,0.434378,2.0000
8200,2099200,256,0.387443,2.0000,0.442722,2.0000
8300,2124800,256,0.397906,2.0000,0.460230,2.0000
8400,2150400,256,0.385480,2.0000,0.455499,2.0000
8500,2176000,256,0.368947,2.0000,0.496415,2.0000
8600,2201600,256,0.375664,2.0000,0.463569,2.0000
8700,2227200,256,0.376540,2.0000,0.465040,2.0000
8800,2252800,256,0.378609,2.0000,0.446558,2.0000
8900,2278400,256,0.371998,2.0000,0.464874,2.0000
9000,2304000,256,0.368445,2.0000,0.480800,2.0000
9100,2329600,256,0.380127,2.0000,0.452324,2.0000
9200,2355200,256,0.391051,2.0000,0.454061,2.0000
9300,2380800,256,0.381967,2.0000,0.451573,2.0000
9400,2406400,256,0.391917,2.0000,0.454866,2.0000
9500,2432000,256,0.384122,2.0000,0.466568,2.0000
9600,2457600,256,0.399395,2.0000,0.445116,2.0000
9700,2483200,256,0.395639,2.0000,0.465321,2.0000
9800,2508800,256,0.398497,2.0000,0.417824,2.0000
9900,2534400,256,0.395806,2.0000,0.490686,2.0000
10000,2560000,256,0.391732,2.0000,0.497762,2.0000
10100,2585600,256,0.390359,2.0000,0.465157,2.0000
10200,2611200,256,0.377317,2.0000,0.474000,2.0000
10300,2636800,256,0.378859,2.0000,0.469184,2.0000
10400,2662400,256,0.375004,2.0000,0.455062,2.0000
10500,2688000,256,0.405745,2.0000,0.441271,2.0000
10600,2713600,256,0.352488,2.0000,0.445743,2.0000
10700,2739200,256,0.417147,2.0000,0.465079,2.0000
10800,2764800,256,0.388657,2.0000,0.457916,2.0000
10900,2790400,256,0.387824,2.0000,0.440940,2.0000
11000,2816000,256,0.394079,2.0000,0.452655,2.0000
11100,2841600,256,0.393388,2.0000,0.441396,2.0000
11200,2867200,256,0.410380,2.0000,0.448170,2.0000
11300,2892800,256,0.374235,2.0000,0.411216,2.0000
11400,2918400,256,0.396613,2.0000,0.441933,2.0000
11500,2944000,256,0.391370,2.0000,0.462261,2.0000
11600,2969600,256,0.375123,2.0000,0.435079,2.0000
11700,2995200,256,0.394832,2.0000,0.470459,2.0000
11800,3020800,256,0.390203,2.0000,0.468126,2.0000
11900,3046400,256,0.414272,2.0000,0.477231,2.0000
12000,3072000,256,0.397200,2.0000,0.435908,2.0000
12100,3097600,256,0.389397,2.0000,0.452508,2.0000
12200,3123200,256,0.390930,2.0000,0.462914,2.0000
12300,3148800,256,0.391712,2.0000,0.454850,2.0000
12400,3174400,256,0.377034,2.0000,0.454367,2.0000
12500,3200000,256,0.400314,2.0000,0.463232,2.0000
12600,3225600,256,0.390194,2.0000,0.459156,2.0000
12700,3251200,256,0.378708,2.0000,0.448538,2.0000
12800,3276800,256,0.397461,2.0000,0.470739,2.0000
12900,3302400,256,0.407453,2.0000,0.466364,2.0000
13000,3328000,256,0.371475,2.0000,0.478173,2.0000
13100,3353600,256,0.376144,2.0000,0.474486,2.0000
13200,3379200,256,0.405114,2.0000,0.430238,2.0000
13300,3404800,256,0.389229,2.0000,0.460970,2.0000
13400,3430400,256,0.377115,2.0000,0.464283,2.0000
13500,3456000,256,0.382619,2.0000,0.474849,2.0000
13600,3481600,256,0.414857,2.0000,0.464373,2.0000
13700,3507200,256,0.411053,2.0000,0.459717,2.0000
13800,3532800,256,0.383543,2.0000,0.494110,2.0000
13900,3558400,256,0.410725,2.0000,0.474093,2.0000
14000,3584000,256,0.375055,2.0000,0.468506,2.0000
14100,3609600,256,0.392771,2.0000,0.458886,2.0000
14200,3635200,256,0.415011,2.0000,0.480630,2.0000
14300,3660800,256,0.393357,2.0000,0.463466,2.0000
14400,3686400,256,0.381957,2.0000,0.464552,2.0000
14500,3712000,256,0.400672,2.0000,0.469768,2.0000
14600,3737600,256,0.393108,2.0000,0.427852,2.0000
14700,3763200,256,0.378567,2.0000,0.437037,2.0000
14800,3788800,256,0.405583,2.0000,0.463556,2.0000
14900,3814400,256,0.402731,2.0000,0.414325,2.0000
15000,3840000,256,0.384091,2.0000,0.488447,2.0000
15100,3865600,256,0.402878,2.0000,0.501529,2.0000
15200,3891200,256,0.383981,2.0000,0.484513,2.0000
15300,3916800,256,0.408121,2.0000,0.447556,2.0000
15400,3942400,256,0.393147,2.0000,0.476940,2.0000
15500,3968000,256,0.388117,2.0000,0.483200,2.0000
15600,3993600,256,0.410392,2.0000,0.436567,2.0000
15700,4019200,256,0.395016,2.0000,0.430453,2.0000
15800,4044800,256,0.374372,2.0000,0.458471,2.0000
15900,4070400,256,0.394780,2.0000,0.476121,2.0000
16000,4096000,256,0.383485,2.0000,0.463040,2.0000
16100,4121600,256,0.405088,2.0000,0.437740,2.0000
16200,4147200,256,0.409913,2.0000,0.478315,2.0000
16300,4172800,256,0.386413,2.0000,0.479653,2.0000
16400,4198400,256,0.411730,2.0000,0.446923,2.0000
16500,4224000,256,0.408149,2.0000,0.467627,2.0000
16600,4249600,256,0.416405,2.0000,0.453794,2.0000
16700,4275200,256,0.388613,2.0000,0.463643,2.0000
16800,4300800,256,0.391582,2.0000,0.472206,2.0000
16900,4326400,256,0.390204,2.0000,0.476620,2.0000
17000,4352000,256,0.385766,2.0000,0.471527,2.0000
17100,4377600,256,0.396766,2.0000,0.464802,2.0000
17200,4403200,256,0.404802,2.0000,0.468260,2.0000
17300,4428800,256,0.397292,2.0000,0.470537,2.0000
17400,4454400,256,0.400747,2.0000,0.479730,2.0000
17500,4480000,256,0.400175,2.0000,0.443363,2.0000
17600,4505600,256,0.399872,2.0000,0.489049,2.0000
17700,4531200,256,0.400928,2.0000,0.465246,2.0000
17800,4556800,256,0.408265,2.0000,0.450212,2.0000
17900,4582400,256,0.396648,2.0000,0.478064,2.0000
18000,4608000,256,0.415476,2.0000,0.468528,2.0000
18100,4633600,256,0.393649,2.0000,0.477260,2.0000
18200,4659200,256,0.393304,2.0000,0.461349,2.0000
18300,4684800,256,0.381988,2.0000,0.448990,2.0000
18400,4710400,256,0.400476,2.0000,0.459927,2.0000
18500,4736000,256,0.386222,2.0000,0.474281,2.0000
18600,4761600,256,0.402333,2.0000,0.511679,2.0000
